         494973 function calls (486978 primitive calls) in 1.116 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       61    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(any)
      252    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(can_cast)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
       61    0.000    0.000    0.009    0.000 <__array_function__ internals>:2(linspace)
       61    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       61    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(result_type)
        6    0.000    0.000    0.027    0.004 <frozen importlib._bootstrap>:1002(_gcd_import)
   470/40    0.003    0.000    1.005    0.025 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      879    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
      428    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      428    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
      428    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
      879    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      430    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      451    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    582/3    0.001    0.000    1.111    0.370 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3982    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      420    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      351    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      736    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:376(cached)
      881    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:389(parent)
      407    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      407    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  407/404    0.002    0.000    0.072    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      430    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:613(_load_backward_compatible)
    408/3    0.005    0.000    1.116    0.372 <frozen importlib._bootstrap>:650(_load_unlocked)
      419    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:746(create_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      879    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
      397    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
